Docente,Categoria,Programa,Idlattes
Aline Martins de Toledo,Permanente,Ciências da Reabilitação,0342907311451855
Aline Martins de Toledo,Permanente,Educação Física,0342907311451855
Arsen Melikyan,Colaborador,Física,0345725410542598
Andreia Alves Costa,Permanente,Profnit - Propriedade Intelectual e Transferência de Tecnologia Para Inovação,0347112176924245
Flavio Borges Botelho Filho,Colaborador,Agronegócios,0351749461935483
Bernardo Borba de Andrade,Permanente,Estatistica,0358291729873455
Maryene Alves Camargo,Permanente,Química,0360336608705412
Flavia Motoyama Narita,Permanente,Profartes,0363568326968733
Carlos Martin Infante Cordova,Colaborador,Ciências Farmacêuticas,0367505914811220
Rodrigo Bonifacio de Almeida,Permanente,Computação Aplicada,0368311142108150
Rodrigo Bonifacio de Almeida,Permanente,Informática,0368311142108150
Liana Fortunato Costa,Permanente,Psicologia Clínica e Cultura,0374051864999315
Perci Coelho de Souza,Permanente,Política Social,0377609914514215
Elizabeth Tunes,Permanente,Educação,0384208157289616
Ludgero Cardoso Galli Vieira,Permanente,Ciências Ambientais,0385787852910227
Ludgero Cardoso Galli Vieira,Permanente,Ecologia,0385787852910227
Rita de Cassia Marqueti,Permanente,Ciências da Reabilitação,0391056751283338
Rita de Cassia Marqueti,Permanente,Ciências e Tecnologias Em Saúde,0391056751283338
Sergio Antonio Andrade de Freitas,Permanente,Computação Aplicada,0395549254894676
Marcela Stockler Coelho de Souza,Permanente,Antropologia,0405000888325357
Marcela Stockler Coelho de Souza,Permanente,Desenvolvimento Sustentável,0405000888325357
Roberta Kumasaka Matsumoto,Permanente,Artes,0410131148474385
Roberta Kumasaka Matsumoto,Permanente,Artes Cênicas,0410131148474385
Claudia Naves David Amorim,Permanente,Arquitetura e Urbanismo,0414142132580629
Jiazheng Zhou,Colaborador,Matemática,0414217631472109
Marcela Rodrigues Machado,Permanente,Integridade de Materiais da Engenharia,0422967504080267
Adilson de Lima Tavares,Permanente,Contabilidade - Unb - Ufpb - Ufrn,0428428556686066
Mariana de Senzi Zancul,Permanente,Educação Em Ciências,0428584036773760
Camilo Negri,Permanente,Estudos Comparados Sobre As Américas,0437435862708779
Ludmilla Moura de Souza Aguiar,Permanente,Ecologia,0444869521916180
Ludmilla Moura de Souza Aguiar,Permanente,Zoologia,0444869521916180
Flavio de Barros Vidal,Permanente,Informática,0453892715674953
Flavio de Barros Vidal,Permanente,Sistemas Mecatrônicos,0453892715674953
Hugo Leonardo Ribeiro,Permanente,Música,0460222492516762
Carlos Henrique Marques da Rocha,Colaborador,Regulação e Gestão de Negócios,0464073041910151
Carlos Henrique Marques da Rocha,Permanente,Transportes,0464073041910151
Marcos Honorato de Oliveira,Colaborador,Estruturas e Construção Civil,0471906852268220
Eliane Said Dutra,Permanente,Nutrição Humana,0478497330421099
Rodrigo Santos de Faria,Permanente,Arquitetura e Urbanismo,0505514768226348
Licia Maria Henrique da Mota,Permanente,Ciencias Medicas,0508579012338939
Dayde Lane Mendonca da Silva,Colaborador,Saúde Coletiva,0510866008516545
Taciana Barbosa Cavalcanti,Permanente,Botânica,0524131490309238
Carla Tatiana Mota Anflor,Permanente,Ciências Mecânicas,0526742760439036
Carla Tatiana Mota Anflor,Permanente,Integridade de Materiais da Engenharia,0526742760439036
Claudia Cristina Gatto,Permanente,Química,0533357429795905
Cristiano Jacques Miosso Rodrigues Mendes,Permanente,Engenharia Biomédica,0535100751136568
Caroline Siqueira Gomide,Colaborador,Meio Ambiente e Desenvolvimento Rural,0549167749223801
Cleyton Hercules Gontijo,Permanente,Educação,0556476746202406
Cleyton Hercules Gontijo,Permanente,Matemática Em Rede Nacional,0556476746202406
Jorge Mendes de Oliveira Castro Neto,Permanente,Ciências do Comportamento,0556918650312258
Maria Luisa Ortiz Alvarez,Colaborador,Lingüística,0562632464695581
Augusto Cesar de Mendonca Brasil,Permanente,Transportes,0571960641751286
Dario Grattapaglia,Permanente,Ciências Biológicas,0576885615997048
Andrea Queiroz Maranhao,Permanente,Ciências Biológicas,0578253829444920
Andrea Queiroz Maranhao,Permanente,Patologia Molecular,0578253829444920
Luiz Fabricio Zara,Permanente,Ciências Ambientais,0582418434279005
Andre Cabral Honor,Permanente,História,0590875659369932
Paulo Jose Barbosa Gutierres Filho,Permanente,Educação Física,0607321239794933
Elenice Seixas Hanna,Permanente,Ciências do Comportamento,0612547523125517
Leandro Goncalves do Nascimento,Permanente,Economia,0622546633871373
Ernandes Rodrigues de Alencar,Permanente,Agronomia,0646231743976574
Christopher William Fagg,Permanente,Botânica,0657076855028096
Christopher William Fagg,Permanente,Ciências e Tecnologias Em Saúde,0657076855028096
Girlene Ribeiro de Jesus,Permanente,Educação,0658305594649132
Danusa Marques,Permanente,Ciência Política,0671000117581548
Ines Maria Marques Zanforlin Pires de Almeida,Colaborador,Educação,0676038221177239
Emilio Peres Facas,Colaborador,Psicologia Social do Trabalho e das Organizações,0677240696349106
Jose Flavio Sombra Saraiva,Permanente,Relações Internacionais,0686325368257137
Wagner Rodrigues Martins,Permanente,Ciências da Reabilitação,0704396555168876
Wagner Rodrigues Martins,Permanente,Educação Física,0704396555168876
Clarice da Silva Costa,Permanente,Profartes,0712156808449393
Cristina Patriota de Moura,Permanente,Antropologia,0712338026370509
Ricardo Matos Chaim,Permanente,Computação Aplicada,0716559775355685
Monica Fiuza Gondim,Colaborador,Arquitetura e Urbanismo,0718568790650154
Delvio Sandri,Permanente,Agronomia,0720020819590155
Aline Teixeira Alves,Permanente,Ciências da Reabilitação,0720553738959593
Marisete Peralta Safons,Permanente,Educação Física,0726249826233532
Tiago Barros Pontes e Silva,Permanente,Design,0727171902745709
Martin Leon Jacques Ibanez de Novion,Permanente,Estudos Comparados Sobre As Américas,0731856809081305
Nair Heloisa Bicalho de Sousa,Permanente,Direitos Humanos e Cidadania,0737170964136460
Nair Heloisa Bicalho de Sousa,Colaborador,Política Social,0737170964136460
Diego Madureira de Oliveira,Permanente,Ciências da Saúde,0751307772633939
Aldicir Osni Scariot,Colaborador,Ciências Florestais,0760002134076536
