Docente,Categoria,Programa,Idlattes
Monica Pereira Garcia,Permanente,Biologia Animal,1869410903969724
Monica Pereira Garcia,Permanente,Nanociência e Nanobiotecnologia,1869410903969724
Potyara Amazoneida Pereira Pereira,Colaborador,Desenvolvimento Sociedade e Cooperação Internacional,1885747732373667
Potyara Amazoneida Pereira Pereira,Permanente,Política Social,1885747732373667
Roberto Arnaldo Trancoso Gomes,Permanente,Geografia,1886939214378140
Lidia Maria Pepe de Moraes,Permanente,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,1888940152771113
Lidia Maria Pepe de Moraes,Permanente,Tecnologias Química e Biológica,1888940152771113
Tania Siqueira Montoro,Permanente,Comunicação,1890681940758286
Leandro Santos Bulhoes de Jesus,Colaborador,Desenvolvimento Sociedade e Cooperação Internacional,1892221694481474
Donald Matthew Pianto,Permanente,Computação Aplicada,1899008966088424
Yanna Karla de Medeiros Nobrega,Permanente,Ciências Farmacêuticas,1899130163424931
Yanna Karla de Medeiros Nobrega,Permanente,Ciencias Medicas,1899130163424931
Rommel Novaes Carvalho,Colaborador,Computação Aplicada,1910309344538817
Maria Helena de Castro Santos,Permanente,Relações Internacionais,1911899537342394
Fernando Cesar Lima Leite,Permanente,Ciências da Informação,1923828283438124
Paulo Roberto Amorim Loureiro,Permanente,Economia,1928628422239767
Patricia Maria Fonseca Escalda,Permanente,Ciências e Tecnologias Em Saúde,1942167838462562
Adriano Todorovic Fabro,Permanente,Ciências Mecânicas,1950124242747561
Cristiano Otavio Paixao Araujo Pinto,Permanente,Direito,1954550903457962
Cristiano Otavio Paixao Araujo Pinto,Permanente,Direitos Humanos e Cidadania,1954550903457962
Geraldo Jose da Silva,Colaborador,Física,1957725310574749
Daniel Junqueira Tarquinio,Permanente,Música,1959303208415381
Ana Maria Nogales Vasconcelos,Permanente,Desenvolvimento Sociedade e Cooperação Internacional,1974188821438356
Maria Del Carmen de La Torre Aranda,Permanente,Lingüística Aplicada,1974288627650669
Alexandre Xavier Ywata de Carvalho,Colaborador,Regulação e Gestão de Negócios,1982284166325784
Rodrigo Albuquerque Pereira,Colaborador,Lingüística,1989643237536642
Ricardo Parreira da Silva,Permanente,Matemática,1991983624732789
Raquel de Almeida Moraes,Permanente,Educação,1993008183702528
Lenise Aparecida Martins Garcia,Permanente,Ensino de Ciências,2020415567369251
Ariuska Karla Barbosa Amorim,Permanente,Tecnologia Ambiental e Recursos Hídricos,2034414130213796
Ari Lazzarotti Filho,Colaborador,Educação Física,2035441455224809
Rafael Litvin Villas Boas,Permanente,Profartes,2035707676879816
Valcir Gassen,Permanente,Direito,2045848169390184
Herbert Kimura,Permanente,Administração,2048706172366367
Volnei Garrafa,Permanente,Bioética,2059138334891787
Carlos Denner Dos Santos Junior,Permanente,Administração,2061860923656655
Artemis Marti Ceschin,Permanente,Engenharia de Sistemas Eletrônicos e de Automação,2065104260659969
Paulo Eduardo Narcizo de Souza,Permanente,Física,2067881167853475
Paulo Eduardo Narcizo de Souza,Permanente,Nanociência e Nanobiotecnologia,2067881167853475
Ana Emilia Fajardo Turbin,Permanente,Lingüística Aplicada,2069631468037931
Carlos Renato Xavier Cancado,Permanente,Ciências do Comportamento,2078898666368900
Cristina Schetino Bastos,Permanente,Agronomia,2083177029086258
Marisa A da S Velloso Ferreira,Permanente,Fitopatologia,2086301050707005
Paulo Aguiar do Monte,Colaborador,Contabilidade - Unb - Ufpb - Ufrn,2086894513472218
Jose Jorge de Carvalho,Permanente,Antropologia,2089135273264758
Guilherme Sales Soares de Azevedo Melo,Permanente,Estruturas e Construção Civil,2099550660739560
Andrea Cristina Versuti,Permanente,Educação,2114435598225058
Ana Laura Correa Valenca de Lima,Permanente,Literatura,2129171194962363
Erivelto da Rocha Carvalho,Permanente,Literatura,2148345416834782
Yuri Dumaresq Sobral,Colaborador,Matemática,2148849606092346
Ivone Rezende Diniz,Permanente,Zoologia,2169148286751332
Rejane Maria da Costa Figueiredo,Permanente,Computação Aplicada,2187680174312042
Marilde Loiola de Menezes,Colaborador,Ciência Política,2191465749549046
Antonio Carlos de Oliveira Miranda,Permanente,Estruturas e Construção Civil,2199847402213150
Annita Valleria Calmon Mendes,Colaborador,Gestão Pública,2209557866712972
Aldo Leonardo Cunha Callado,Colaborador,Contabilidade - Unb - Ufpb - Ufrn,2210545587344776
Flavio Elias Gomes de Deus,Permanente,Engenharia Elétrica,2217050272348357
Silviene Fabiana de Oliveira,Permanente,Biologia Animal,2223438165183635
Silviene Fabiana de Oliveira,Permanente,Profbio Ensino de Biologia Em Rede Nacional,2223438165183635
Pedro Miguel Ocampos Pedroso,Permanente,Ciências Animais,2226422094152807
Pedro Miguel Ocampos Pedroso,Permanente,Saúde Animal,2226422094152807
Gilberto Icle,Colaborador,Artes Cênicas,2227456713763579
Wania Cristina de Souza,Permanente,Ciências do Comportamento,2230947855110689
Ricardo Carmona,Permanente,Agronomia,2233509314950341
Elisabetta Gioconda Iole Giovanna Recine,Permanente,Nutrição Humana,2237174557049648
Marcelo Medeiros,Permanente,Sociologia,2238409567061694
Natan Monsores de Sa,Permanente,Bioética,2243315675454285
Jose Camapum de Carvalho,Permanente,Geotecnia,2245433059787601
Carla Targino Bruno Dos Santos,Colaborador,Saúde Coletiva,2251343443198733
Sayonara de Amorim Goncalves Leal,Permanente,Sociologia,2262250933846288
Elton Bauer,Permanente,Estruturas e Construção Civil,2269552202132201
Guarino Rinaldi Colli,Permanente,Ecologia,2272000258230548
Guarino Rinaldi Colli,Permanente,Zoologia,2272000258230548
Daniela Freddo,Permanente,Economia,2272842229824956
Guilherme Veiga Rios,Permanente,Lingüística,2272993237239437
Gilberto Gomes,Permanente,Estruturas e Construção Civil,2274734815970506
Anderson Luis Nunes da Mata,Permanente,Literatura,2281256929844028
Esther Fernande Rose Katz,Colaborador,Desenvolvimento Sustentável,2293647427919533
Riccardo Pratesi,Permanente,Ciencias Medicas,2300976917717595
Marcia Elizabeth Bortone,Permanente,Lingüística,2314051950644237
Eleuza Rodrigues Machado,Colaborador,Medicina Tropical,2315718991467926
Renato de Oliveira Resende,Permanente,Ciências Biológicas,2321059443128660
Renato de Oliveira Resende,Permanente,Fitopatologia,2321059443128660
Aveliny Mantovan Lima Gregio,Permanente,Lingüística,2322575044482974
Victor Petrogradskiy,Permanente,Matemática,2328650133829558
Eliane Mendes Guimaraes,Permanente,Ensino de Ciências,2333548915983203
Antonio Raphael Teixeira Neto,Permanente,Saúde Animal,2368985735640767
Livia Barbosa Pereira,Permanente,Política Social,2374643739754552
Ricardo Jose de Moura,Permanente,Ciências do Comportamento,2384137677957740
Olavo Leopoldino da Silva Filho,Permanente,Ensino de Física - Profis,2385734808526524
Reginaldo Sergio Pereira,Permanente,Ciências Florestais,2393229242953160
Renato Vinicius Oliveira Castro,Permanente,Ciências Florestais,2397768052594119
Alexandre Dodonov,Permanente,Física,2405016585299932
Soraya Coelho Leal,Permanente,Odontologia,2405878864266963
Angelica Alves da Cunha Marques,Permanente,Ciências da Informação,2413567691663920
Moises de Andrade Resende Filho,Permanente,Economia,2416352829908854
Lucijane Monteiro de Abreu,Permanente,Gestão Pública,2419085894654452
Junio Marcio Rosa Cruz,Permanente,Ensino de Física - Profis,2419626789740586
Luiz Felippe Salemi,Permanente,Ciências Ambientais,2422077073578660
Paulo Burnier da Silveira,Permanente,Direito,2423393005681659
Nilson Francisquini Botelho,Permanente,Geologia,2430062237829411
Wilson Trajano Filho,Permanente,Antropologia,2440057525269977
Eduardo Stockler Tognetti,Permanente,Engenharia de Sistemas Eletrônicos e de Automação,2443108673822686
Leonardo Cavalcanti da Silva,Permanente,Estudos Comparados Sobre As Américas,2452018229289390
Eugenio Liborio Feitosa Fortaleza,Permanente,Sistemas Mecatrônicos,2458977915657094
Leopoldo Luiz Dos Santos Neto,Permanente,Ciencias Medicas,2459707342395110
Marcelo de Macedo Brigido,Permanente,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,2482060270236527
Marcelo de Macedo Brigido,Permanente,Ciências Biológicas,2482060270236527
Marcelo de Macedo Brigido,Permanente,Patologia Molecular,2482060270236527
Marcelo de Macedo Brigido,Colaborador,Profbio Ensino de Biologia Em Rede Nacional,2482060270236527
Wilma Maria Coelho Araujo,Permanente,Nutrição Humana,2485737217147204
Pedro Ergnaldo Gontijo,Permanente,Metafísica,2496597365610298
Marcus Vinicius Medeiros Pereira,Permanente,Música,2498204826579831
Marlene Teixeira de Souza,Permanente,Biologia Microbiana,2504192710037935
Marcelo Ladeira,Permanente,Computação Aplicada,2507980325174728
Pedro Henrique de Oliveira Neto,Colaborador,Ensino de Física - Profis,2532681073063789
Pedro Henrique de Oliveira Neto,Permanente,Física,2532681073063789
Ivanete Salete Boschetti,Permanente,Política Social,2538174210879274
Amilcar Rabelo de Queiroz,Permanente,Física,2539681588857036
Daniela Amorim Amato,Permanente,Matemática,2540707668143991
Carlos Eduardo Guimaraes Pinheiro,Colaborador,Zoologia,2561574310974189
Miroslav Milovic,Permanente,Direito,2562680828224438
Miroslav Milovic,Permanente,Metafísica,2562680828224438
Davi Alexsandro Cardoso Ferreira,Permanente,Química,2567397184703679
Helena Eri Shimizu,Permanente,Bioética,2576204257230209
Helena Eri Shimizu,Permanente,Saúde Coletiva,2576204257230209
Carlos Alberto Bezerra Tomaz,Permanente,Biologia Animal,2576531891879144
Daniel Muller,Colaborador,Física,2577221921134297
Fabiana Serra de Arruda,Permanente,Transportes,2580906230595550
Jorlandio Francisco Felix,Permanente,Física,2582175054709315
Julio Lemos de Macedo,Permanente,Química,2584366080619497
Marcos Antonio Dos Santos,Permanente,Bioética,2589509859613998
Caio Frederico e Silva,Permanente,Arquitetura e Urbanismo,2593051036451822
Ricardo Miyasaka de Almeida,Permanente,Saúde Animal,2593259109151413
Tania Cristina Morais Santa Barbara Rehem,Permanente,Enfermagem,2598099282441568
Tania Cristina Morais Santa Barbara Rehem,Colaborador,Saúde Coletiva,2598099282441568
Regina Dalcastagne,Permanente,Literatura,2599879538822377
Sidney Barbosa,Permanente,Literatura,2609201627153424
Eduardo Luiz Dias Cavalcanti,Permanente,Ensino de Ciências,2609515072700660
Luiz Guilherme Grossi Porto,Permanente,Educação Física,2616001571325447
Hardy Jost,Visitante,Geologia,2619246838089343
Juliana de Freitas Dias,Permanente,Lingüística,2619929161240727
Peter Zornig,Permanente,Estatistica,2621383446454738
Eder Lima de Albuquerque,Permanente,Ciências Mecânicas,2632046397771304
Eder Lima de Albuquerque,Permanente,Integridade de Materiais da Engenharia,2632046397771304
Rodrigo Luiz Carregaro,Permanente,Ciências da Reabilitação,2638841180115631
Rodrigo Luiz Carregaro,Permanente,Educação Física,2638841180115631
Alexandre Kehrig Veronese Aguiar,Permanente,Direito,2645812441653704
Victor Gomes e Silva,Colaborador,Economia,2648190177235232
Victor Gomes e Silva,Permanente,Regulação e Gestão de Negócios,2648190177235232
Michael Christian Lehmann,Permanente,Economia,2654419804071809
Amilton Vieira,Colaborador,Educação Física,2655981698975093
Mauro Dias Silva Junior,Permanente,Ciências do Comportamento,2665950726942083
Leandro Augusto Hilgert,Permanente,Ciências da Saúde,2679075593598898
Leandro Augusto Hilgert,Permanente,Odontologia,2679075593598898
Andre Porto Ancona Lopez,Permanente,Ciências da Informação,2683882609392455
Detlef Hans Gert Walde,Permanente,Geociências Aplicadas e Geodinâmica,2693396645160277
Detlef Hans Gert Walde,Permanente,Geologia,2693396645160277
Adriana Moreira Amado,Permanente,Economia,2695557138359266
Antonadia Monteiro Borges,Permanente,Antropologia,2699955351343721
Piero Luis Zanetti Eyben,Permanente,Literatura,2708307614926467
Rodrigo Arruda de Oliveira,Permanente,Ciências Animais,2709768840269152
Elisa Duarte Teixeira,Permanente,Estudos de Tradução,2718046708360707
Paulo Roberto Menezes Lima Junior,Permanente,Educação Em Ciências,2718754091231947
Paulo Roberto Menezes Lima Junior,Colaborador,Ensino de Física - Profis,2718754091231947
Raul Yukihiro Matsushita,Permanente,Estatistica,2722420136334883
Cesar Lignelli,Permanente,Artes,2723749173803350
Cesar Lignelli,Permanente,Artes Cênicas,2723749173803350
Marcio Botelho de Castro,Permanente,Ciências Animais,2728337803011388
Jose Mauro Barbosa Ribeiro,Permanente,Profartes,2732389443384455
Damaris Silveira,Permanente,Ciências da Saúde,2741617746925944
Damaris Silveira,Permanente,Ciências Farmacêuticas,2741617746925944
Paulo Eduardo Aguiar Saraiva Camara,Permanente,Botânica,2742831544064073
Guilherme Eckhardt Molina,Permanente,Educação Física,2749214070755005
Thatianny Tanferri de Brito Paranagua,Permanente,Enfermagem,2760680486381627
Ana Magnolia Bezerra Mendes,Permanente,Psicologia Social do Trabalho e das Organizações,2763241614261951
Sergio Sauer,Permanente,Desenvolvimento Sustentável,2783679231462590
Sergio Sauer,Permanente,Meio Ambiente e Desenvolvimento Rural,2783679231462590
Luiz Alfredo Rodrigues Pereira,Colaborador,Botânica,2787167728200368
Jonilto Costa Sousa,Permanente,Gestão Pública,2798671439590312
Maria Del Rosario Tatiana Fernandez Mendez,Permanente,Artes,2809713635725046
Vitor Salvador Picao Goncalves,Permanente,Saúde Animal,2810864273439126
Elza Ferreira Noronha,Permanente,Medicina Tropical,2821908253556703
Nelson Goncalves Gomes,Colaborador,Filosofia,2826537572017302
Joao Paulo Guimaraes Soares,Permanente,Agronegócios,2834060716037496
Maria Luiza de Araujo Gastal,Permanente,Educação Em Ciências,2848198350526854
Maria Luiza de Araujo Gastal,Permanente,Ensino de Ciências,2848198350526854
Chang Chung Yu Dorea,Permanente,Matemática,2872011997246923
Maria Ines de Toledo,Permanente,Medicina Tropical,2882701602027364
Juliano Zaiden Benvindo,Permanente,Direito,2892611661211789
Claudia Guilmar Linhares Sanz,Permanente,Comunicação,2896428371985307
Frederico Henrique Viegas de Lima,Colaborador,Direito,2905643473226210
Sylvia Helena Cyntrao,Permanente,Literatura,2907523784331163
Cibele Brandao de O Borges,Permanente,Lingüística,2908761030623399
Jose Carmine Dianese,Permanente,Biologia Microbiana,2924779756458377
Jose Carmine Dianese,Permanente,Fitopatologia,2924779756458377
Juliana Barreiros Porto,Permanente,Psicologia Social do Trabalho e das Organizações,2926808690199799
Rogerio da Silva Lima,Permanente,Literatura,2929899812598313
Rogerio da Silva Lima,Permanente,Metafísica,2929899812598313
Francisco de Assis Rocha Neves,Permanente,Ciências da Saúde,2934031372127516
Francisco de Assis Rocha Neves,Permanente,Ciências Farmacêuticas,2934031372127516
Luis Roberto Cardoso de Oliveira,Permanente,Antropologia,2935371042756080
Luis Roberto Cardoso de Oliveira,Permanente,Direito,2935371042756080
Sergio Costa Ulhoa,Permanente,Física,2945375824658637
Maria Julia Martins Silva,Permanente,Profbio Ensino de Biologia Em Rede Nacional,2947861548656250
Maria Julia Martins Silva,Colaborador,Zoologia,2947861548656250
Marco Ianniruberto,Permanente,Geociências Aplicadas e Geodinâmica,2954445604658831
Jose Felicio da Silva,Colaborador,Engenharia Biomédica,2957228356035337
Silvia Cristina Yannoulas,Permanente,Política Social,2959399879607887
Cleber Furlanetto,Permanente,Fitopatologia,2965249477852237
Genaina Nunes Rodrigues,Permanente,Computação Aplicada,2966913210268454
Genaina Nunes Rodrigues,Permanente,Informática,2966913210268454
Marcio Jose Pocas Fonseca,Colaborador,Biologia Microbiana,2967731651217225
Marcio Jose Pocas Fonseca,Colaborador,Ciências Biológicas,2967731651217225
Marcio Jose Pocas Fonseca,Permanente,Patologia Molecular,2967731651217225
Regina Celia de Oliveira,Permanente,Botânica,2968817136128886
Flavio Rene Kothe,Permanente,Arquitetura e Urbanismo,2969670428458905
Lucas Vieira Barros,Permanente,Geociências Aplicadas e Geodinâmica,2976574994064549
Celia Kinuko Matsunaga Higawa,Permanente,Design,2977168844333740
Benny Schvarsberg,Permanente,Arquitetura e Urbanismo,2978568603389237
Ildinete Silva Pereira,Permanente,Ciências Biológicas,2987052330959897
Ildinete Silva Pereira,Permanente,Patologia Molecular,2987052330959897
Ildinete Silva Pereira,Permanente,Profbio Ensino de Biologia Em Rede Nacional,2987052330959897
Maria Jandyra Cavalcanti Cunha,Permanente,Comunicação,2990716660409944
Claisy Maria Marinho Araujo,Permanente,Processos de Desenvolvimento Humano e Saúde,2999127173845463
Sandra Fernandes Arruda,Permanente,Nutrição Humana,3007566415648366
Edilson de Souza Bias,Permanente,Geociências Aplicadas e Geodinâmica,3035374199466563
Osmindo Rodrigues Pires Junior,Permanente,Biologia Animal,3040017553449056
Breitner Luiz Tavares,Permanente,Desenvolvimento Sociedade e Cooperação Internacional,3044520631590589
Claure Nain Lunardi Gomes,Permanente,Ciências e Tecnologias Em Saúde,3048218552636238
Claure Nain Lunardi Gomes,Permanente,Nanociência e Nanobiotecnologia,3048218552636238
Cecilia Brito Alves,Colaborador,Desenvolvimento Sociedade e Cooperação Internacional,3056167595899140
Maria Fatima Grossi de Sa,Permanente,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,3058512809761818
Maria Fatima Grossi de Sa,Permanente,Ciências Biológicas,3058512809761818
Maria Fatima Grossi de Sa,Colaborador,Ciências Farmacêuticas,3058512809761818
Carlos Hiroo Saito,Permanente,Desenvolvimento Sustentável,3072326161076486
Jose Eduardo Martins,Colaborador,Ensino de Física - Profis,3089494963189120
Waldery Rodrigues Junior,Colaborador,Regulação e Gestão de Negócios,3106336495878584
Marcello Ferreira,Permanente,Ensino de Física - Profis,3108824986425884
Erick Calheiros de Lima,Permanente,Filosofia,3109241300359127
Eugenia Fonseca da Silva,Permanente,Estruturas e Construção Civil,3111870573118688
Daniel Luis Mascia Vieira,Colaborador,Ciências Florestais,3112965245088570
Daniel Luis Mascia Vieira,Colaborador,Ecologia,3112965245088570
Everton Nunes da Silva,Permanente,Saúde Coletiva,3121617627863531
Biagio D Angelo,Permanente,Artes,3121637693007790
Elisabeth Carmen Duarte,Permanente,Medicina Tropical,3122700846380008
Elisabeth Carmen Duarte,Permanente,Saúde Coletiva,3122700846380008
Emerson Fachin Martins,Permanente,Ciências da Reabilitação,3134627091642994
Emerson Fachin Martins,Permanente,Ciências e Tecnologias Em Saúde,3134627091642994
Emerson Fachin Martins,Colaborador,Profnit - Propriedade Intelectual e Transferência de Tecnologia Para Inovação,3134627091642994
Jhames Matos Sampaio,Colaborador,Estatistica,3144568412633079
Ana Claudia Farranha Santana,Permanente,Direito,3145169281714440
Mauricio da Silva Neubern,Permanente,Psicologia Clínica e Cultura,3145260669336275
Vinicius Amorim Sobreiro,Permanente,Administração,3150339971293179
Felipe Vigolvino Lopes,Permanente,Engenharia Elétrica,3155646870666658
Georgete Medleg Rodrigues,Permanente,Ciências da Informação,3170566653824541
Carlos Alberto Pereira Dos Santos,Permanente,Matemática,3177072070882420
Carlos Alberto Pereira Dos Santos,Colaborador,Matemática Em Rede Nacional,3177072070882420
Carlos Eduardo Luna de Melo,Permanente,Arquitetura e Urbanismo,3178676800830416
Franciscarlos Gomes da Silva,Colaborador,Ciências de Materiais,3186235884509947
Carlos Alberto Lopes de Sousa,Permanente,Educação,3189275188541769
Rafael Timoteo de Sousa Junior,Permanente,Engenharia Elétrica,3196088341529197
Maria Emilia Schutesky Della Giustina,Permanente,Geologia,3198521143047615
Junia Regina de Faria Barreto,Permanente,Literatura,3201086818367731
Otilia Maria Alves da Nobrega Alberto Dantas,Permanente,Educação,3207250805226101
Juvenil Enrique Cares,Permanente,Fitopatologia,3207715700779256
Joao Paulo Figueiro Longo,Permanente,Biologia Animal,3208175361373924
Joao Paulo Figueiro Longo,Permanente,Nanociência e Nanobiotecnologia,3208175361373924
Taina Bacellar Zaneti,Colaborador,Turismo,3227054665363136
Sylvia Ficher,Permanente,Arquitetura e Urbanismo,3228132238224370
Paula Diniz Galera,Permanente,Ciências Animais,3231150421416276
Thomas Christopher Rhys Williams,Permanente,Botânica,3232721185279491
Eraldo Aparecido Trondoli Matricardi,Permanente,Ciências Florestais,3238397066723847
Erica Negrini Lia,Permanente,Odontologia,3239800267214308
Maria Eduarda Tannuri Pianto,Colaborador,Economia,3241053561719054
Maria Eduarda Tannuri Pianto,Permanente,Economia,3241053561719054
Maria Filomena Pinto da Costa Coelho,Permanente,História,3246683197718111
Michelle Andrade,Permanente,Transportes,3254944113298230
Giane Regina Paludo,Permanente,Ciências Animais,3257643044030021
Francisco Assis de Oliveira Nascimento,Permanente,Engenharia de Sistemas Eletrônicos e de Automação,3269842674142738
Lenora Nunes Ludolf Gomes,Permanente,Tecnologia Ambiental e Recursos Hídricos,3270127658584114
Jose Vieira de Sousa,Permanente,Educação,3287025746166245
Umberto Euzebio,Permanente,Desenvolvimento Sociedade e Cooperação Internacional,3296133477339307
Umberto Euzebio,Permanente,Profbio Ensino de Biologia Em Rede Nacional,3296133477339307
Emilie Suzanne Coudel,Colaborador,Desenvolvimento Sustentável,3299840369978601
Mauricio Gomes Pereira,Permanente,Ciências da Saúde,3304440090658615
Mauricio Gomes Pereira,Permanente,Ciencias Medicas,3304440090658615
Mauricio Gomes Pereira,Permanente,Saúde Coletiva,3304440090658615
Ricardo Ruviaro,Permanente,Matemática,3322914857605786
Ricardo Ruviaro,Colaborador,Matemática Em Rede Nacional,3322914857605786
Artur Antonio de Almeida Portela,Permanente,Estruturas e Construção Civil,3341252439228073
Roberto de Goes Ellery Junior,Permanente,Economia,3348928663753300
Daphne Rattner,Permanente,Saúde Coletiva,3358689365154969
Jayme Leiro Vilan Filho,Permanente,Ciências da Informação,3364096778603273
Tati de Almeida,Permanente,Geociências Aplicadas e Geodinâmica,3367180710437907
Eclair Antonio Almeida Filho,Permanente,Estudos de Tradução,3369799579487169
Ana Claudia da Silva,Permanente,Literatura,3379147543215084
Sergio Rizo Dutra,Colaborador,Arquitetura e Urbanismo,3384102431683538
Elisa de Souza Martinez,Permanente,Artes,3386594078244605
Gerson Cipriano Junior,Permanente,Ciências da Reabilitação,3387305180640853
Gerson Cipriano Junior,Permanente,Ciências e Tecnologias Em Saúde,3387305180640853
Gerson Cipriano Junior,Colaborador,Educação Física,3387305180640853
Rafael Terra de Menezes,Permanente,Economia,3406800836319670
Tatsuya Nagata,Permanente,Biologia Microbiana,3407440699398765
Tatsuya Nagata,Permanente,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,3407440699398765
Tatsuya Nagata,Permanente,Ciências Biológicas,3407440699398765
Julia Klaczko,Permanente,Zoologia,3425457954868723
Jose Matsuo Shimoishi,Permanente,Transportes,3425907666236117
Joaquim Pinto de Andrade,Permanente,Economia,3434941226436294
Joaquim Pinto de Andrade,Colaborador,Economia,3434941226436294
Daniele Nantes Sobrinho,Colaborador,Matemática,3436184353817774
Roberto Goulart Menezes,Colaborador,Relações Internacionais,3447982256778354
Karim Marini Thome,Permanente,Agronegócios,3457898410697164
Ricardo Trevisan,Permanente,Arquitetura e Urbanismo,3458904726233428
Deise Matos do Amparo,Permanente,Psicologia Clínica e Cultura,3460390140349596
Dianne Magalhaes Viana,Permanente,Design,3462848897175909
Rafael Sanzio Araujo Dos Anjos,Permanente,Geografia,3466441462870689
Jose Affonso Brod,Permanente,Geologia,3466579183915386
Ennio Marques Palmeira,Permanente,Geotecnia,3468455656914958
Jose Eduardo Pereira Soares,Permanente,Geociências Aplicadas e Geodinâmica,3470407274471561
Alex Fabiano Cortez Campos,Permanente,Ciências de Materiais,3471395432150092
Tiago Quiroga Fausto Neto,Permanente,Comunicação,3473491577219521
Marisa Von Bulow,Permanente,Ciência Política,3477606685746067
Henrique Marinho Leite Chaves,Permanente,Ciências Florestais,3479480621039646
Menelick de Carvalho Netto,Permanente,Direito,3486409844570972
Menelick de Carvalho Netto,Permanente,Direitos Humanos e Cidadania,3486409844570972
Raquel Naves Blumenschein,Permanente,Arquitetura e Urbanismo,3486886457253995
Augusto Cesar Bittencourt Pires,Permanente,Geociências Aplicadas e Geodinâmica,3498766575923893
Augusto Cesar Bittencourt Pires,Colaborador,Geologia,3498766575923893
Paulo Amilton Maia Leite Filho,Colaborador,Contabilidade - Unb - Ufpb - Ufrn,3508047836111003
Luiz Eduardo de Lacerda Abreu,Colaborador,Antropologia,3516912972107427
Ricardo Correa Gomes,Permanente,Administração,3539564256173485
Claudio Vaz Torres,Permanente,Administração,3544401899360228
Claudio Vaz Torres,Permanente,Psicologia Social do Trabalho e das Organizações,3544401899360228
Luiz Eduardo Bassay Blum,Permanente,Agronomia,3545257559534992
Luiz Eduardo Bassay Blum,Permanente,Fitopatologia,3545257559534992
Joao Claudio Todorov,Permanente,Ciências do Comportamento,3546907053144539
Guy Hamelin,Permanente,Filosofia,3552045383640084
Loussia Penha Musse Felix,Permanente,Direito,3556134368503448
Paulo Gustavo Barboni Dantas Nascimento,Permanente,Profnit - Propriedade Intelectual e Transferência de Tecnologia Para Inovação,3560646486199746
Paulo Cesar Motta,Permanente,Ecologia,3564130773797143
Paulo Cesar Motta,Permanente,Zoologia,3564130773797143
Doris Aleida Villamizar Sayago,Permanente,Desenvolvimento Sustentável,3571450875581106
Camila Cardoso de Mello Prando,Permanente,Direito,3572730036724559
Andre Murilo de Almeida Pinto,Colaborador,Sistemas Mecatrônicos,3577562013244119
Walterlania Silva Santos,Permanente,Enfermagem,3582006524611333
Ricardo Henrique Kruger,Permanente,Biologia Microbiana,3582992747972651
Ricardo Henrique Kruger,Permanente,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,3582992747972651
Ricardo Henrique Kruger,Permanente,Ciências Biológicas,3582992747972651
Jose Renato Junqueira Borges,Permanente,Saúde Animal,3586382943482522
Antonio Maria Gomes de Castro,Colaborador,Agronegócios,3590788433595742
Leonardo Silva Boiteux,Permanente,Fitopatologia,3592032092912418
Márcio Martins Pimentel,Permanente,Geologia,3593833602651976
Rosa Maria Sposto,Permanente,Estruturas e Construção Civil,3614333741432655
Marcelo Carvalho Rosa,Permanente,Sociologia,3618441470885782
Jairo Eduardo Borges-Andrade,Permanente,Psicologia Social do Trabalho e das Organizações,3622720842959126
Daniela Scheinkman Chatelard,Permanente,Psicologia Clínica e Cultura,3630980140600543
Shadia Husseini de Araujo,Permanente,Geografia,3634018305250466
Daniel Guerreiro e Silva,Permanente,Engenharia Elétrica,3636638127781726
Antonio Cesar Pinho Brasil Junior,Permanente,Ciências Mecânicas,3642213701314265
Antonio Cesar Pinho Brasil Junior,Permanente,Desenvolvimento Sustentável,3642213701314265
Elizabeth de Andrade Lima Hazin,Colaborador,Literatura,3668988950467915
Othon de Azevedo Lopes,Colaborador,Direito,3669800507409393
Joao Carlos Felix Souza,Permanente,Computação Aplicada,3671776516613425
Inez Lopes Matos Carneiro de Farias,Permanente,Direito,3685324815967898
Andre Gustavo de Melo Araujo,Permanente,História,3706282491068280
Nelia Rodrigues Del Bianco,Permanente,Comunicação,3708240583479831
Fabio Henrique Pereira,Permanente,Comunicação,3713755920970596
Luiz Fernando Junqueira Junior,Colaborador,Ciencias Medicas,3735589466164032
Fernanda Casagrande Martinelli Lima Granja Xavier da Silva,Permanente,Comunicação,3740273640162328
Stefan Michael Blawid,Permanente,Engenharia de Sistemas Eletrônicos e de Automação,3740757562716147
Jose Luis da Costa Oreiro,Permanente,Economia,3747519200935517
Suzana Maria Valle Lima,Colaborador,Agronegócios,3754921440533079
Ercilia Torres Steinke,Permanente,Geografia,3758831342495343
Tarcisio Marciano da Rocha Filho,Colaborador,Ensino de Física - Profis,3762576391986383
Tarcisio Marciano da Rocha Filho,Permanente,Física,3762576391986383
Leila Posenato Garcia,Colaborador,Saúde Coletiva,3764410041166009
Suzana Moreira Avila,Permanente,Integridade de Materiais da Engenharia,3770883410480180
Alexandre Floriani Ramos,Permanente,Ciências Animais,3771349675852807
Dirceu Silveira Reis Junior,Permanente,Tecnologia Ambiental e Recursos Hídricos,3772375204809379
